date,obs,sim,bf
1986-10-01 00:00:00 +0000 UTC,NaN,0,0
1986-10-02 00:00:00 +0000 UTC,NaN,0,0
1986-10-03 00:00:00 +0000 UTC,NaN,4.1644777512835766e-10,5.719962853779871e-10
1986-10-04 00:00:00 +0000 UTC,NaN,6.545283198687343e-09,7.352554479515824e-09
1986-10-05 00:00:00 +0000 UTC,NaN,9.402432225119486e-08,1.0937447759949634e-07
1986-10-06 00:00:00 +0000 UTC,NaN,5.55048359053196e-07,4.657001091948301e-07
1986-10-07 00:00:00 +0000 UTC,NaN,1.121753055875296e-06,4.521888597901907e-07
1986-10-08 00:00:00 +0000 UTC,NaN,4.948886198869433e-07,4.2680891417392416e-07
1986-10-09 00:00:00 +0000 UTC,NaN,6.178269498711902e-07,6.381035150765017e-07
1986-10-10 00:00:00 +0000 UTC,NaN,1.0734689695081532e-06,6.022887616619564e-07
1986-10-11 00:00:00 +0000 UTC,NaN,6.301473074738811e-07,5.684841782775682e-07
1986-10-12 00:00:00 +0000 UTC,NaN,5.947791110938456e-07,5.365769403701879e-07
1986-10-13 00:00:00 +0000 UTC,NaN,9.708111841728638e-07,1.0687974599452672e-06
1986-10-14 00:00:00 +0000 UTC,NaN,3.5182601576413353e-06,2.97278085726016e-06
1986-10-15 00:00:00 +0000 UTC,NaN,7.030764858468004e-06,3.5369956417968856e-06
1986-10-16 00:00:00 +0000 UTC,NaN,4.992615723629246e-06,3.380765358889543e-06
1986-10-17 00:00:00 +0000 UTC,NaN,4.12978289587127e-06,3.9048054536135674e-06
1986-10-18 00:00:00 +0000 UTC,NaN,5.316844578813237e-06,3.68564094323444e-06
1986-10-19 00:00:00 +0000 UTC,NaN,3.8561183016033335e-06,3.4787774509675647e-06
1986-10-20 00:00:00 +0000 UTC,NaN,3.704469185149568e-06,3.3725044668861496e-06
1986-10-21 00:00:00 +0000 UTC,NaN,3.6820048402552545e-06,3.1832163451046867e-06
1986-10-22 00:00:00 +0000 UTC,NaN,3.33045432134496e-06,3.004552373238921e-06
1986-10-23 00:00:00 +0000 UTC,NaN,3.1435263426406327e-06,2.8359162510013904e-06
1986-10-24 00:00:00 +0000 UTC,NaN,2.998162932253084e-06,2.7194241482192105e-06
1986-10-25 00:00:00 +0000 UTC,NaN,2.9188389202801613e-06,2.566791380969285e-06
1986-10-26 00:00:00 +0000 UTC,NaN,2.7159966547953058e-06,2.464589674799983e-06
1986-10-27 00:00:00 +0000 UTC,NaN,2.9236918754781238e-06,2.701064430109635e-06
1986-10-28 00:00:00 +0000 UTC,NaN,4.891040070208317e-06,4.4976958452444895e-06
1986-10-29 00:00:00 +0000 UTC,NaN,8.066801746631045e-06,4.245254252579475e-06
1986-10-30 00:00:00 +0000 UTC,NaN,5.4171835452651394e-06,5.34693546556417e-06
1986-10-31 00:00:00 +0000 UTC,NaN,7.905926360216014e-06,5.046828710628477e-06
1986-11-01 00:00:00 +0000 UTC,NaN,5.323424528787054e-06,4.822843304817896e-06
1986-11-02 00:00:00 +0000 UTC,NaN,7.38278943548324e-06,7.621408594575229e-06
1986-11-03 00:00:00 +0000 UTC,NaN,1.3268973871835763e-05,7.1936427806641685e-06
1986-11-04 00:00:00 +0000 UTC,NaN,8.273728494998118e-06,7.816377502232349e-06
1986-11-05 00:00:00 +0000 UTC,NaN,9.948809414085693e-06,7.377668693671893e-06
1986-11-06 00:00:00 +0000 UTC,NaN,7.718918828774396e-06,6.963583237636768e-06
1986-11-07 00:00:00 +0000 UTC,NaN,7.2856800705671134e-06,6.572739102406261e-06
1986-11-08 00:00:00 +0000 UTC,NaN,6.9863680745450045e-06,6.354383132220701e-06
1986-11-09 00:00:00 +0000 UTC,NaN,8.277531617353744e-06,7.878758060828954e-06
1986-11-10 00:00:00 +0000 UTC,NaN,1.1488308311841942e-05,7.436548026728733e-06
1986-11-11 00:00:00 +0000 UTC,NaN,7.780521594014852e-06,7.019157857986626e-06
1986-11-12 00:00:00 +0000 UTC,NaN,7.572964768620785e-06,6.939920498550339e-06
1986-11-13 00:00:00 +0000 UTC,NaN,7.803884022269643e-06,6.550404478814372e-06
1986-11-14 00:00:00 +0000 UTC,NaN,6.8533899483691055e-06,6.182750774311359e-06
1986-11-15 00:00:00 +0000 UTC,NaN,6.468730617625354e-06,5.8357323217033945e-06
1986-11-16 00:00:00 +0000 UTC,NaN,6.105661011359988e-06,5.5081909288777465e-06
1986-11-17 00:00:00 +0000 UTC,NaN,8.048231265619415e-06,8.337869527231012e-06
1986-11-18 00:00:00 +0000 UTC,NaN,1.4138612358748296e-05,7.869891003269067e-06
1986-11-19 00:00:00 +0000 UTC,NaN,8.233908619079204e-06,7.4281786493610345e-06
1986-11-20 00:00:00 +0000 UTC,NaN,7.771765095555649e-06,7.011258227579373e-06
1986-11-21 00:00:00 +0000 UTC,NaN,7.3355602417715e-06,6.617738244357917e-06
1986-11-22 00:00:00 +0000 UTC,NaN,6.9238382013669885e-06,6.246305306309817e-06
1986-11-23 00:00:00 +0000 UTC,NaN,6.535224830643842e-06,5.895719736708884e-06
1986-11-24 00:00:00 +0000 UTC,NaN,1.1526776570650244e-05,1.292457767275002e-05
1986-11-25 00:00:00 +0000 UTC,NaN,3.1092615831690445e-05,1.889262660508958e-05
1986-11-26 00:00:00 +0000 UTC,NaN,3.131397352625262e-05,1.7832242596496177e-05
1986-11-27 00:00:00 +0000 UTC,NaN,2.5217935429069625e-05,2.584281521502296e-05
1986-11-28 00:00:00 +0000 UTC,NaN,4.258458060194313e-05,2.4392338869734776e-05
1986-11-29 00:00:00 +0000 UTC,NaN,2.5644905428357683e-05,2.3194017215037466e-05
1986-11-30 00:00:00 +0000 UTC,NaN,2.456140943323302e-05,2.189220961231693e-05
1986-12-01 00:00:00 +0000 UTC,NaN,2.2904822105244865e-05,2.066346839644905e-05
1986-12-02 00:00:00 +0000 UTC,NaN,2.1619246119027296e-05,1.9503692579794367e-05
1986-12-03 00:00:00 +0000 UTC,NaN,2.7211733026576925e-05,2.775701141694896e-05
1986-12-04 00:00:00 +0000 UTC,NaN,6.053695401568815e-05,4.7308625537547435e-05
1986-12-05 00:00:00 +0000 UTC,NaN,8.591474363284629e-05,4.4653340434149764e-05
1986-12-06 00:00:00 +0000 UTC,NaN,4.671875690764929e-05,4.2147088174133476e-05
1986-12-07 00:00:00 +0000 UTC,NaN,4.409657928450778e-05,3.978150401038425e-05
1986-12-08 00:00:00 +0000 UTC,NaN,4.16215762854877e-05,3.754869268286658e-05
1986-12-09 00:00:00 +0000 UTC,NaN,3.928548745950668e-05,3.544120206778325e-05
1986-12-10 00:00:00 +0000 UTC,NaN,4.7000112529378127e-05,4.7076689593697644e-05
1986-12-11 00:00:00 +0000 UTC,NaN,7.279081571319794e-05,4.447765950648273e-05
1986-12-12 00:00:00 +0000 UTC,NaN,4.660954216673615e-05,4.198126766715897e-05
1986-12-13 00:00:00 +0000 UTC,NaN,4.3923088838321125e-05,3.962499048954608e-05
1986-12-14 00:00:00 +0000 UTC,NaN,4.145782331512299e-05,3.7400963776158274e-05
1986-12-15 00:00:00 +0000 UTC,NaN,3.913092543091857e-05,3.5301764722304354e-05
1986-12-16 00:00:00 +0000 UTC,NaN,3.693462904314003e-05,3.3320387142091455e-05
1986-12-17 00:00:00 +0000 UTC,NaN,3.4861603898498445e-05,3.1450218084915644e-05
1986-12-18 00:00:00 +0000 UTC,NaN,4.386353429824891e-05,4.47367957422551e-05
1986-12-19 00:00:00 +0000 UTC,NaN,9.009698976333444e-05,6.602029431838536e-05
1986-12-20 00:00:00 +0000 UTC,NaN,0.00011012387654393367,6.231478180277855e-05
1986-12-21 00:00:00 +0000 UTC,NaN,6.519711883796161e-05,5.8817248108609595e-05
1986-12-22 00:00:00 +0000 UTC,NaN,6.153780858601846e-05,5.5516020035481935e-05
1986-12-23 00:00:00 +0000 UTC,NaN,5.80838839670395e-05,5.2400079563207036e-05
1986-12-24 00:00:00 +0000 UTC,NaN,5.4823817328182036e-05,4.945902707858968e-05
1986-12-25 00:00:00 +0000 UTC,NaN,7.068829417059744e-05,7.269952729126843e-05
1986-12-26 00:00:00 +0000 UTC,NaN,0.0001290583445464745,7.976222746643866e-05
1986-12-27 00:00:00 +0000 UTC,NaN,0.0001026755126013378,7.528542324735692e-05
1986-12-28 00:00:00 +0000 UTC,NaN,7.876771039267776e-05,7.10598880393421e-05
1986-12-29 00:00:00 +0000 UTC,NaN,7.434672530469582e-05,6.707151889912648e-05
1986-12-30 00:00:00 +0000 UTC,NaN,7.017387627463305e-05,6.330700443751402e-05
1986-12-31 00:00:00 +0000 UTC,NaN,6.623523620207761e-05,5.975378039192752e-05
1987-01-01 00:00:00 +0000 UTC,NaN,6.251765967118015e-05,5.6399987692529516e-05
1987-01-02 00:00:00 +0000 UTC,NaN,5.900873907714558e-05,5.323443288196063e-05
1987-01-03 00:00:00 +0000 UTC,NaN,5.569676321520751e-05,5.024655075659417e-05
1987-01-04 00:00:00 +0000 UTC,NaN,5.25706781938739e-05,4.742636910462019e-05
1987-01-05 00:00:00 +0000 UTC,NaN,4.9620050541990057e-05,4.4764475423270475e-05
1987-01-06 00:00:00 +0000 UTC,NaN,4.683503238648657e-05,4.225198550410164e-05
1987-01-07 00:00:00 +0000 UTC,NaN,4.420632858459141e-05,3.988051378148792e-05
1987-01-08 00:00:00 +0000 UTC,NaN,4.172516570080805e-05,3.7642145345360235e-05
