date,obs,sim
1987-03-15 00:00:00 +0000 UTC,970318.7875465222,103752.27762405365
1987-04-15 00:00:00 +0000 UTC,3.468501112514692e+06,1.1964822684488937e+06
1987-05-15 00:00:00 +0000 UTC,988082.062210776,706051.3017359934
1987-06-15 00:00:00 +0000 UTC,743392.9786580293,1.0637918544984777e+06
1987-07-15 00:00:00 +0000 UTC,2.1762229898762368e+06,2.496023349558928e+06
1987-08-15 00:00:00 +0000 UTC,1.0111077075931844e+06,1.5484868690298079e+06
1987-09-15 00:00:00 +0000 UTC,631861.8271274219,1.0120207010903546e+06
1987-10-15 00:00:00 +0000 UTC,1.5804872101930478e+06,1.3108034496872928e+06
1987-11-15 00:00:00 +0000 UTC,2.485970051964723e+06,1.7339105760458687e+06
1987-12-15 00:00:00 +0000 UTC,2.9697972227032776e+06,2.5404882526221704e+06
1988-01-15 00:00:00 +0000 UTC,1.7219272880489244e+06,1.5201462968214701e+06
1988-02-15 00:00:00 +0000 UTC,1.66752726054768e+06,825260.9559581778
1988-03-15 00:00:00 +0000 UTC,3.653239121907509e+06,2.427685968098204e+06
1988-04-15 00:00:00 +0000 UTC,3.125669948816358e+06,2.345819937961278e+06
1988-05-15 00:00:00 +0000 UTC,2.101617261167549e+06,2.0752622745165618e+06
1988-06-15 00:00:00 +0000 UTC,986772.0257764747,973846.37883478
1988-07-15 00:00:00 +0000 UTC,876062.4223275568,636510.0374060037
1988-08-15 00:00:00 +0000 UTC,897045.2937837441,899204.9075875418
1988-09-15 00:00:00 +0000 UTC,1.1492837572237698e+06,1.311371777178441e+06
1988-10-15 00:00:00 +0000 UTC,1.4850096211147509e+06,1.8415054441115737e+06
1988-11-15 00:00:00 +0000 UTC,1.972611483782145e+06,1.4394792913889915e+06
1988-12-15 00:00:00 +0000 UTC,1.1064298673862126e+06,913264.424102186
1989-01-15 00:00:00 +0000 UTC,1.3377965008963705e+06,1.0625476843572783e+06
1989-02-15 00:00:00 +0000 UTC,1.1238156694165687e+06,1.1783179663664585e+06
1989-03-15 00:00:00 +0000 UTC,3.618378731741166e+06,1.5748857358227426e+06
1989-04-15 00:00:00 +0000 UTC,2.4109202365587754e+06,1.6900425960230995e+06
1989-05-15 00:00:00 +0000 UTC,3.158754047779272e+06,2.745404854368777e+06
1989-06-15 00:00:00 +0000 UTC,1.9910408831984228e+06,2.370916030466184e+06
1989-07-15 00:00:00 +0000 UTC,597978.3838882952,866471.4378429033
1989-08-15 00:00:00 +0000 UTC,1.1072070058717493e+06,848755.1660990247
1989-09-15 00:00:00 +0000 UTC,1.183478070282901e+06,1.0054779136926003e+06
1989-10-15 00:00:00 +0000 UTC,1.4421557286302603e+06,1.323308481313862e+06
1989-11-15 00:00:00 +0000 UTC,2.367622267964759e+06,3.125254256070566e+06
1989-12-15 00:00:00 +0000 UTC,805364.5991162973,1.2873667799210243e+06
1990-01-15 00:00:00 +0000 UTC,1.9092188012448594e+06,3.4622280512934485e+06
1990-02-15 00:00:00 +0000 UTC,2.464210052610735e+06,3.3387418188809375e+06
1990-03-15 00:00:00 +0000 UTC,8.814580119081674e+06,3.7919323995245257e+06
1990-04-15 00:00:00 +0000 UTC,3.4327525092498176e+06,3.2609597530607684e+06
1990-05-15 00:00:00 +0000 UTC,1.9224302322600672e+06,2.0954108706544703e+06
1990-06-15 00:00:00 +0000 UTC,1.3033801683110145e+06,1.7178760067180374e+06
1990-07-15 00:00:00 +0000 UTC,1.0036915492152966e+06,1.4988939862135255e+06
1990-08-15 00:00:00 +0000 UTC,754916.9019285047,1.0024081271011509e+06
1990-09-15 00:00:00 +0000 UTC,938589.1418931319,901268.665826328
1990-10-15 00:00:00 +0000 UTC,2.276141395635396e+06,2.7937713616527976e+06
1990-11-15 00:00:00 +0000 UTC,2.0014767882373538e+06,2.2399836044788095e+06
1990-12-15 00:00:00 +0000 UTC,2.6620485084015206e+06,2.8762545223438274e+06
1991-01-15 00:00:00 +0000 UTC,1.6255615282230405e+06,2.631128782124993e+06
1991-02-15 00:00:00 +0000 UTC,2.125597680773171e+06,2.485799218326771e+06
1991-03-15 00:00:00 +0000 UTC,5.069194095382401e+06,3.276956947676869e+06
1991-04-15 00:00:00 +0000 UTC,5.048100186370292e+06,5.156243591499734e+06
1991-05-15 00:00:00 +0000 UTC,1.5585051727842963e+06,2.344082688154902e+06
1991-06-15 00:00:00 +0000 UTC,774145.6462827288,1.0429740948689672e+06
1991-07-15 00:00:00 +0000 UTC,684574.3422517992,853263.4362590528
1991-08-15 00:00:00 +0000 UTC,846486.5749216364,809690.7066653292
1991-09-15 00:00:00 +0000 UTC,635614.3172359858,535011.6255130849
1991-10-15 00:00:00 +0000 UTC,1.3482324271107737e+06,978932.1842043888
1991-11-15 00:00:00 +0000 UTC,1.2600821838353944e+06,715547.9868480281
